num_of_bedrooms,num_of_bathrooms,property_size,price,description,location
2.0,1.0,580.0,285000.0,chain superbly presented recently renovated double bedroom floor apartment located regarded road heart chorlton village converted 2020 award winning developer armistead property limited superb property provides spacious movein ready accommodation ideal young couple time buyer ideally situated local amenities short stroll vibrant scene beech road 03 miles metro chorlton providing fast access city centre nearby airport property benefits engineered oak flooring solid granite worktops window sills accommodation briefly comprises communal entrance hallway stairs floor landing entrance hall stairs leading second floor hallway 17 ft open plan livingdiningkitchen fitted modern white units integrated appliances solid granite worktops good sized bedrooms bathroom fitted modern piece suite feature tiling underfloor heating useful utility cupboard double glazing gas central heating installed internal viewing superb apartment strongly recommended nb note property currently registered freehold property sold lease 125 years registered hm land registry completion,787500.0
6.0,6.0,11323.0,1250000.0,nestled stretfords coveted residential streets magnificent doublefronted edwardian semidetached property offers exceptional blend period elegance contemporary family living remarkable home extends 4000 square feet beautifully appointed accommodation including converted cellars currently apartments welcoming entrance porch opens grand reception hallway original features immediately capture attention beautiful tiled flooring complements impressive period fireplace space flows seamlessly connect reception areas impressive living room serves heart family life featuring magnificent mahogany fireplace bay window captures beautiful garden views direct access second reception room utilised formal dining space play room office space ground floor accommodation unfolds reveal superbly fitted kitchen breakfast room opens double doors bright family room currently dining room complete juliet balcony overlooking tranquil rear gardens practical family needs expertly addressed wellappointed utility room convenient ground floor cloakroom floor provides generous accommodation substantial double bedrooms contemporary threepiece shower room separate family bathroom bedrooms benefit private ensuite facilities exceptional bedroom creates luxurious suite integrated dressing room access private enclosed balcony second floor completes family home additional double bedrooms served elegant fourpiece family bathroom bedroom features particularly versatile ensuite dressing room perfectly suited modern lifestyle demands exceptional home sits beautifully maintained grounds featuring southfacing rear garden provides complete privacy mature planted borders shared gravel driveway ensures excellent parking provision propertys prime location places renowned stretford meadows literally doorstep outstanding educational facilities including stretford grammar school moss park junior school easy walking distance alongside victoria park stretford civic hall disclaimer effort ensure accuracy completeness information trading places seller makes representations warranties kind express implied completeness accuracy reliability suitability information contained advertisement purpose reliance place information strictly risk information confirmed legal representative,472500.0
3.0,1.0,855.0,220000.0,tucked away quiet popular residential street wellpresented threebedroom semidetached home offers bright modern living spaces ideal firsttime buyers young families looking upsize ground floor opens entrance hall leading spacious dualaspect lounge filled natural light window double doors rear garden creating comfortable space relaxing entertaining modern fitted kitchen dining area recently renovated complete integrated cooking appliances ample storage door opening garden perfect summer evenings family meals convenient wc completes ground floor layout upstairs goodsized bedrooms including generous main bedroom plenty space wardrobes storage double bedroom single ideal home office nursery guest room family bathroom features contemporary white suite bath overhead shower wc wash basin outside property benefits private rear garden patio area lawn offering ideal outdoor space children pets play driveway provides offroad parking located easy reach oldham town centre local schools shops excellent transport links property combines comfort practicality convenience ready straight enjoy property leasehold peppercorn ground rent book viewing use brochure link property description rightmove advert 247 speak expert need available reach 9 6 pm monday friday 9 5 pm saturday property ownership information tenure leasehold council tax band annual ground rent 100 ground rent review period 1 year annual service charge service charge service charge review period review period,431658.3333333333
4.0,2.0,9902.0,950000.0,nestled generous plot excellent location impressive fourbedroom detached home offers wonderful balance character space versatile living ideal modern life entertaining arrive home immediately notice character features step entrance porch perfect storing coats shoes alongside downstairs wc entrance hall showcases curved walls distinctive feature home parquet floor stunning staircase imported africa home sitting room overlooks garden benefits open fire large southfacing bay window creating bright inviting space relax second reception room open fire offers perfect setting cosy winter evenings opens formal dining space reception room french doors lead rear garden allowing seamless indooroutdoor entertaining warmer months flow ground floor continues wellequipped kitchenbreakfast room offering plenty storage fivering hob integrated dishwasher space dining table space connects fourth reception room ideal snug study dual access rear garden cellar accessible currently use utility room sewing room playroom cellar benefits new central heating system making practical comfortable year round upstairs generously sized bedrooms builtin wardrobes modern bathroom features sleek fourpiece suite including separate bath walkin shower standout feature property exceptional outdoor space rear gardens include sunroomgreenhouse area thoughtfully designed builtin bbq kitchenette commercialgrade extraction fan canopy ideal yearround entertaining garden boasts mature fruitbearing cherry apple pear plum trees alongside grapevine produces 200 bunches annually making haven gardeners lovers homegrown produce office equipped heating air conditioning providing ideal workspace creative retreat property fully alarmed electric roller shutters windows additional enhanced security features externally find driveway comfortably parks cars carport offroad parking potential extend loft convert external buildings subject usual permissions home presents rare opportunity secure spacious highly adaptable property soughtafter setting disclaimer effort ensure accuracy completeness information trading places seller makes representations warranties kind express implied completeness accuracy reliability suitability information contained advertisement purpose reliance place information strictly risk information confirmed legal representative,731666.6666666666
3.0,1.0,1773.0,550000.0,beautifully presented detached home positioned sought limehurst estate ideal growing families viewing considered essential epc c ryder dutton delighted offer sale executive gated detached home wonderful opportunity growing families looking additional space internally externally set highly desirable location close ashtonoldham border viewing comes highly recommended avoid disappointment personal inspection reveal entrance hall access spacious living room sitting room leading stunning open plan kitchendining room living space bifolds rear garden kitchen useful island benefitting beautiful granite worktops useful wc firstfloor viewers find generous bedrooms bedroom separate rooms easily changed create fourth bedroom master lovely ensuite bathroom accommodation completed modern piece shower room comprising lowlevel wc hand wash basin large shower cubicle warmed gas central heating system economy comfort enhanced upvc double glazed windows externally property features offroad parking large driveway detached double garage whilst rear large enclosed garden lawn patio areas land owned property development house gardens necessary permissions holden clough drive located camberwell drive turn oldham road main arterial roads joining ashton oldham set close good local schools including popular canon burrows primary school convenience stores property short distance daisy nook country park regular bus services ashton oldham motorway network short drive away prove ideal looking commute making offer required law complete antimoney laundering aml checks confirm identity purchasers cover cost process fee 48 inc vat buyer payable offer accepted standard requirement buyers helps ensure offer progressed quickly smoothly possible antimoney laundering aml checks making offer required law complete antimoney laundering aml checks confirm identity purchasers cover cost process fee 48 inc vat buyer payable offer accepted standard requirement buyers helps ensure offer progressed quickly smoothly possible,520000.0
3.0,1.0,1042.0,270000.0,delighted present beautifully renovated meticulously maintained threebedroom midterrace property nestled south manchesters soughtafter neighbourhoods fully refurbished 2022 home blends timeless character modern eleganceready work required step inside discover spacious lightfilled living room featuring fireplace mantlepieceperfect cosy evenings entertaining guests rear generously sized kitchen breakfast area awaits complete kitchen appliances highspec fixtures impress discerning home chef layout offers excellent flow functionality ample space dining everyday living outside property boasts private driveway capacity vehicles leading inviting porch main entrance rear garden equally impressiveideal summer barbecues winter gatherings firepit offering privacy plenty room relax family friends upstairs ll find wellproportioned bedrooms modern finished bathroom elegant tiling calming tones master bedroom enjoys westfacing views quiet culdesac surrounding greenery second bedroom overlooks rear garden offering stunning sunset views peaceful ambience home offers rare combination style space location growing family professional couple looking longterm investment property turnkey opportunity enjoy best south manchester living property benefits loft converted storage large rear extension approved bath shower,794000.0
4.0,3.0,1239.0,350000.0,occupying generous corner plot soughtafter bakewell drive immaculately presented fourfivebedroom detached home offers exceptional opportunity growing family search flexible spacious living arranged floors welldesigned accommodation begins welcoming entrance hallway leading reception room modern shower room beautifully presented lounge heart home openplan kitchen diner provides access rooms overlooking rear garden depending individual requirements rooms bedrooms additional reception space home officestudyideal modern family living floor landing gives access generously sized bedrooms including master bedroom ensuite shower room contemporary family bathroom completes upstairs accommodation externally property continues impress rear garden thoughtfully landscaped featuring artificial lawn luxury porcelaintiled patio perfect outdoor entertaining lowmaintenance enjoyment paved driveway provides offroad parking vehicles conveniently located close local shops schools transport links property short drive wigan town centre early viewing highly recommended fully appreciate size quality setting superb family home,295000.0
3.0,1.0,1193.0,325000.0,welcome filey road immaculately renovated threebedroom semidetached family home tucked away quiet treelined street beautifully refurbished threebedroom semidetached home offers perfect blend contemporary style comfortable family living ideally located excellent transport links nearby train stations highly regarded schools wide range local amenities filey road superb choice professionals families alike step inside discover bright inviting living room generous proportions welcoming atmosphere perfect relaxing entertaining second reception room ideal dining area versatile family space flows seamlessly rear extended kitchen real highlight thoughtfully designed highquality finishes ample storage making heart home ground floor benefits internal access garage easy access rear garden providing convenience flexibility modern living upstairs ll find wellproportioned bedrooms stylishly finished filled natural light sleek contemporary family bathroom completes firstfloor accommodation outside property continues impress private driveway offers offroad parking enclosed rear garden provides peaceful space children play hosting summer gatherings attached garage adds value additional storage potential future conversion subject planning rare opportunity secure turnkey home highly soughtafter location early viewing highly recommended homes calibre nt stay market long,603571.4285714285
5.0,3.0,3027.0,1150000.0,searching generational family home surrounded stunning countryside look fivebedroom detached gem backing local golf course end quiet culdesac greenmount village hunt fold house built 1806 john ann heap making original buildings area house family 1975 passing generations 2015 undergone extensive renovation bring uptodate numerous improvements included adding large extension complete rewire replumb new roof insulation added network cabling hardwired broadband new megaflow heating system ensures constant hot water peaceful private position hayfield close electric gates lead exclusive development homes pull huge resurfaced driveway find ample parking 4 cars space available detached double garage set beautifully landscaped garden propertys whiterendered exterior anthracitegrey framed windows backdropped rolling green belonging neighbouring golf club ensuring uninterrupted view welcome home cross indian stone terrace pathway reach pretty timberframed porch noticing original stone plaque ground commemorating homes period origins step cottagestyle oak door spotlit hallway crisp white walls combine highquality woodeffect flooring flowing ahead dining kitchen recent addition turning oak staircase perfectly suits period house cosy living spaces reception rooms flank hallway begin living room left centred cosy logeffect gas fire chunky mantel beam big windows statement fitting flood room light brightening neutral décor soft cream carpet hall bold green paintwork woodeffect flooring clever mix lighting create lowkey sophisticated vibe second reception faces garden broad casement window currently set office ideal snug playroom gym possibilities hallway utility room fitted wide range modern units work surfaces sink space laundry appliances stairs ll find convenient cloakroom chrome heated towel rail contemporary sanitaryware ultimate family hub incredible openplan dining kitchen fills leftwing extension creating amazing hub socialising entertaining making memories family friends summer open bifold doors link kitchen huge indian stone terrace garden fresh breeze allow children run hearts content numerous ceiling spots thoughtfully placed pendants alcove lighting skylights add bright upbeat atmosphere illuminate fantastic run glossy grey cabinetry topped oak match enormous island bar kitchen finished suite integrated neff appliances plus drinks fridge hot tap cater number people designer radiators throw heat living dining areas wonderfully cosy place gather winter share meals watch movies s fitting mounted tv bifolds rest easy return hallway chequered carpet runs statement oak staircase lit feature pendant window flowing landing floor ll find thoughtfully decorated bedrooms lined cream carpets spotlit bathrooms heated chrome towel rails dualaspect kingsized master suite french doors flanking windows open glass juliet balcony frame sweeping view garden beautifully bright room benefits mood lighting designer vertical radiator fantastic walkin dressing area large en suite features massive walkin rainfall shower stylish twin pedestal basins tonal tiled splashbacks led mirrors modern toilet master painted striking blue spacious bedrooms repurposed office sun lounge fabulous views golf course broad dualaspect windows fitted blinds landing double bedrooms charming window seats walkin dressing room bedrooms righthand share jackandjill en suite highend sanitaryware led mirror large rainfall shower completing upstairs accommodation family bathroom boasts chrometrimmed grey stoneeffect tiling doubleended bathtub basin vanity unit led mirror modern toilet oversized rainfall shower step outside bifold doors kitchen sweeping lawn fills grounds allowing plenty room children run linked matching pathway large indian stone terraces create lovely spaces enjoying drinks al fresco meals open sky attractive slat fencing exterior lights frames terrace bar summer house positioned catch evening sun latenight parties mature trees shrubs attractive hedging screen garden provide plenty texture interest contemporary planters stylish water feature s spacious patio fenced surfaced rear courtyard gated access garden greenmount village west pennine moors bury 13 miles north manchester mile northeast tottington miles south ramsbottom village active community including community garden wellbeing trail golf tennis clubs pretty churches clubs groups buryholcombe brook line old rail track leads kirklees valley footpath forms national cycle route 6 connecting greenmount manchester city centre time explore lake impressive bridge river greenmount wild bird sanctuary cricket club situated trail stop refreshments miller carter great steaks hub tea rooms delicious cakes village bistro ll find local butcher coop convenience store doctors surgery chemists ramsbottom popular shops boutiques restaurants bars including awardwinning brewery abound town centre visit theatre royal sure highly tempting ramsbottom chocolate festival annual blackpudding throwing world championships allegedly dating war roses plenty amenities supermarkets library dentist leisure centre cater daytoday needs surrounding rural landscape provides endless walks days including holcombe hill home historic peel monument great viewing point stargazing watching firework displays parks nature reserves doorstep hours drive explore peak district yorkshire dale national parks forest bowland aonb west coast getting travelling area simple hop join quick links manchester 12 miles liverpool 40 m leeds 45 m village served numerous bus routes 480 bury bolton 273 rawtenstall bolton bury summerseat 472474 circular route includes bury walmersley ramsbottom alternately catch northern line services entwistle bromley cross stations runs trains london euston c 3 hours transpennine express services operate bolton station tram links available bury interchange manchester schools greenmount home greenmount primary school holly mount catholic primary school ofstedrated good tottington high school academy woodhey high school lie fiveminute drive grammar schools rossendale bury independents bolton school clevelands prep striking distance disclaimer descriptions images videos plans marketing materials provided general guidance intended highlight lifestyle features property offer form contract warranty plans shown including boundary outlines illustrative purposes relied statement fact extent property boundaries confirmed title plan purchasers legal adviser whilst effort ensure accuracy burton james estate agents seller accepts responsibility errors omissions prospective purchasers rely details statements fact strongly advised verify information inspection searches enquiries seek confirmation conveyancer proceeding purchase,705833.3333333334
3.0,2.0,1418.0,670000.0,jordan fishwick proud present sale stunning georgian bedroom midterrace positioned secluded highly convenient backwater location downs moments walk altrincham town centre property meticulously renovated stunning blend modernity period charm brief ground floor entrance hall lounge fireplace dining room original stone flooring newly fitted kitchen floor consists double bedrooms newly fitted bathroom second floor double bedroom ensuite shower room dressing area study finally basement wc cellar currently utility room externally road parking cars rear courtyard access ginnell viewings strongly advised appreciate truly stunning home,1075000.0
